	da	fi	he	ro	fa	eu	ja	ur	kk	id	name	group	xpos	mean
fr	4.927217483520508	5.6191864013671875	5.480484962463379	5.148122787475586	5.042868137359619	6.032809734344482	5.22976541519165	4.427328586578369	5.4606523513793945	4.868746280670166	French	human	1	5.223718214035034
es	4.918011665344238	5.612151622772217	5.469159126281738	5.124547958374023	5.033268451690674	6.056143283843994	5.245471477508545	4.423867225646973	5.4550018310546875	4.821191787719727	Spanish	human	2	5.215881443023681
ru	4.942409515380859	5.646069049835205	5.4823760986328125	5.13839054107666	5.038311004638672	6.041613578796387	5.265775680541992	4.449263572692871	5.4818854331970215	4.876440048217773	Russian	human	3	5.236253452301026
zh	4.889410495758057	5.577518463134766	5.425610065460205	5.118478298187256	5.008924961090088	6.020379066467285	5.180477142333984	4.38922119140625	5.438832759857178	4.756775856018066	Chinese	human	4	5.180562829971313
ko	4.888070106506348	5.571471214294434	5.440714359283447	5.1215667724609375	5.0174994468688965	6.005818843841553	5.2042012214660645	4.381984710693359	5.452763557434082	4.783656597137451	Korean	human	5	5.186774682998657
ar	4.896095275878906	5.591085910797119	5.45055627822876	5.127626419067383	5.02038049697876	6.0205559730529785	5.220425128936768	4.39775276184082	5.442032337188721	4.806921005249023	Arabic	human	6	5.197343158721924
hi	4.943386077880859	5.654071807861328	5.467916965484619	5.199193000793457	5.076722621917725	6.061072826385498	5.286042213439941	4.4571709632873535	5.5154571533203125	4.826949596405029	Hindi	human	7	5.2487983226776125
pz_real	5.068382263183594	5.752814292907715	5.593005657196045	5.223895072937012	5.114136219024658	6.114029407501221	5.377829074859619	4.562935829162598	5.569694519042969	5.062579154968262	Paren, real	synth	8	5.3439301490783695
pz_syn	5.075646877288818	5.738699436187744	5.57607364654541	5.264694690704346	5.142731666564941	6.132684707641602	5.428257465362549	4.569953918457031	5.578944683074951	5.093385219573975	Paren, synth	synth	9	5.3601072311401365
disc_large	5.000357627868652	5.705007076263428	5.521820545196533	5.246131420135498	5.105435371398926	6.06104850769043	5.337141513824463	4.493499755859375	5.556825637817383	4.9238762855529785	Disc, large	ec	10	5.295114374160766
disc_small	5.085509777069092	5.7980170249938965	5.589393615722656	5.31077241897583	5.174932956695557	6.0629448890686035	5.412372589111328	4.563511848449707	5.645544528961182	5.051603317260742	Disc, small	ec	11	5.3694602966308596
recon_1	5.086837291717529	5.788028717041016	5.568704128265381	5.299289703369141	5.157498359680176	6.064957141876221	5.410421371459961	4.554931640625	5.635402679443359	5.038140773773193	Rec, large	ec	12	5.360421180725098
yao	5.071822643280029	5.793422222137451	5.564732074737549	5.305386543273926	5.166547775268555	6.033895015716553	5.408265113830566	4.560029983520508	5.646118640899658	5.028499603271484	Yao+	ec	13	5.357871961593628
mu_sw	5.089369773864746	5.798652172088623	5.577664852142334	5.325026035308838	5.184543132781982	6.104068279266357	5.422131538391113	4.579131603240967	5.646788597106934	5.046632289886475	Mu+, SW	ec	14	5.377400827407837
mu_cub	5.079919815063477	5.789093017578125	5.58148717880249	5.315103530883789	5.178103446960449	6.063284397125244	5.416987419128418	4.564374923706055	5.653202533721924	5.049468994140625	Mu+, CUB	ec	15	5.369102525711059
rand	5.2285661697387695	5.922538757324219	5.7144880294799805	5.449519157409668	5.305185317993164	6.167392253875732	5.550778388977051	4.718813419342041	5.755498886108398	5.218039512634277	Random	baseline	16	5.50308198928833
no_pt	5.167593002319336	5.846884727478027	5.660545349121094	5.377307891845703	5.234503269195557	6.098935127258301	5.472503185272217	4.651296615600586	5.675395488739014	5.140706539154053	No pretrain	baseline	17	5.432567119598389
mean	5.0210944624508125	5.717924230238971	5.539101937237908	5.240885426016415	5.117740743300494	6.067154884338379	5.3452262317433075	4.514415797065286	5.565296565785127	4.9643301683313705	\textit{Mean}		18	5.309317044650808
